Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_write,mem_used,mem_free,mem_buff,mem_cach
377,0.376,1.461,0,0,6716805120,11743182848,2892247040,41579565056
378,0.333,0.500,0,118784,6715764736,11744583680,2892247040,41579581440
379,4.373,1.541,0,679936,6760296448,11698823168,2892247040,41579646976
380,4.657,1.289,32768,4231168,6774595584,11682742272,2892247040,41580068864
381,2.578,1.705,32768,11358208,6783135744,11674439680,2892251136,41579786240
382,6.175,1.906,0,0,6847664128,11609841664,2892251136,41579814912
383,4.042,0.458,0,0,6888083456,11569422336,2892251136,41579814912
384,3.484,1.866,0,0,6917320704,11540201472,2892251136,41579823104
385,3.090,1.754,0,32768,6949257216,11508289536,2892251136,41579839488
386,2.714,2.004,0,110592,6982410240,11475132416,2892251136,41579843584
387,3.078,1.498,0,0,7014342656,11443191808,2892251136,41579851776
388,3.461,1.209,0,0,7039614976,11417919488,2892251136,41579851776
389,3.210,1.584,0,0,7066394624,11391086592,2892251136,41579855872
